Tên nhà cung cấp (*),Số điện thoại (*),Mã số thuế,Email,Địa chỉ,Số dư nợ đầu kỳ (VNĐ),Ghi chú
Doanh nghiệp Tư nhân Minh Châu - CN 01645,0820001645,0100001645,ncc01645@minhchâu.vn,"Số 765 Lý Thường Kiệt, Quảng Ninh",0,Đối tác cung ứng cấp 1 khu vực Quảng Ninh
Công ty TNHH Thực phẩm Đại Nam - CN 01646,0820001646,0100001646,ncc01646@đạinam.vn,"Số 766 Pasteur, Nam Định",0,Đối tác cung ứng cấp 1 khu vực Nam Định
Công ty Cổ phần Đầu tư Bán lẻ Hải Đăng - CN 01647,0820001647,0100001647,ncc01647@hảiđăng.vn,"Số 767 Cách Mạng Tháng 8, Nghệ An",35000000,Đối tác cung ứng cấp 1 khu vực Nghệ An
Đại lý Phân phối Cấp 1 Á Châu - CN 01648,0820001648,0100001648,ncc01648@áchâu.vn,"Số 768 Võ Văn Kiệt, Thanh Hóa",0,Đối tác cung ứng cấp 1 khu vực Thanh Hóa
Công ty TNHH Phân phối Hoàng Kim - CN 01649,0820001649,0100001649,ncc01649@hoàngkim.vn,"Số 769 Quang Trung, Khánh Hòa",0,Đối tác cung ứng cấp 1 khu vực Khánh Hòa
Công ty Cổ phần Thương mại Thành Đạt - CN 01650,0820001650,0100001650,ncc01650@thànhđạt.vn,"Số 770 Bạch Đằng, Lâm Đồng",0,Đối tác cung ứng cấp 1 khu vực Lâm Đồng
Tổng Kho Đại lý Thiên Phú - CN 01651,0820001651,0100001651,ncc01651@thiênphú.vn,"Số 771 Nguyễn Trãi, Hà Nội",0,Đối tác cung ứng cấp 1 khu vực Hà Nội
Nhà phân phối Hàng tiêu dùng Thái Bình Dương - CN 01652,0820001652,0100001652,ncc01652@tháibìnhdương.vn,"Số 772 Lê Lợi, TP. Hồ Chí Minh",0,Đối tác cung ứng cấp 1 khu vực TP. Hồ Chí Minh
Doanh nghiệp Tư nhân Nam Việt - CN 01653,0820001653,0100001653,ncc01653@namviệt.vn,"Số 773 Trần Hưng Đạo, Đà Nẵng",15000000,Đối tác cung ứng cấp 1 khu vực Đà Nẵng
Công ty TNHH Thực phẩm Đông Dương - CN 01654,0820001654,0100001654,ncc01654@đôngdương.vn,"Số 774 Hai Bà Trưng, Hải Phòng",0,Đối tác cung ứng cấp 1 khu vực Hải Phòng
Công ty Cổ phần Đầu tư Bán lẻ Gia Phát - CN 01655,0820001655,0100001655,ncc01655@giaphát.vn,"Số 775 Hoàng Diệu, Cần Thơ",0,Đối tác cung ứng cấp 1 khu vực Cần Thơ
Đại lý Phân phối Cấp 1 Tân Tiến - CN 01656,0820001656,0100001656,ncc01656@tântiến.vn,"Số 776 Giải Phóng, Bình Dương",30000000,Đối tác cung ứng cấp 1 khu vực Bình Dương
Công ty TNHH Phân phối Đức Trí - CN 01657,0820001657,0100001657,ncc01657@đứctrí.vn,"Số 777 Cầu Giấy, Đồng Nai",0,Đối tác cung ứng cấp 1 khu vực Đồng Nai
Công ty Cổ phần Thương mại An Bình - CN 01658,0820001658,0100001658,ncc01658@anbình.vn,"Số 778 Nguyễn Huệ, Bắc Ninh",0,Đối tác cung ứng cấp 1 khu vực Bắc Ninh
Tổng Kho Đại lý Khang Thịnh - CN 01659,0820001659,0100001659,ncc01659@khangthịnh.vn,"Số 779 Điện Biên Phủ, Thái Nguyên",45000000,Đối tác cung ứng cấp 1 khu vực Thái Nguyên
Nhà phân phối Hàng tiêu dùng Thịnh Vượng - CN 01660,0820001660,0100001660,ncc01660@thịnhvượng.vn,"Số 780 Lý Thường Kiệt, Quảng Ninh",0,Đối tác cung ứng cấp 1 khu vực Quảng Ninh
Doanh nghiệp Tư nhân Việt Phát - CN 01661,0820001661,0100001661,ncc01661@việtphát.vn,"Số 781 Pasteur, Nam Định",0,Đối tác cung ứng cấp 1 khu vực Nam Định
Công ty TNHH Thực phẩm Hưng Thịnh - CN 01662,0820001662,0100001662,ncc01662@hưngthịnh.vn,"Số 782 Cách Mạng Tháng 8, Nghệ An",10000000,Đối tác cung ứng cấp 1 khu vực Nghệ An
Công ty Cổ phần Đầu tư Bán lẻ Toàn Thắng - CN 01663,0820001663,0100001663,ncc01663@toànthắng.vn,"Số 783 Võ Văn Kiệt, Thanh Hóa",0,Đối tác cung ứng cấp 1 khu vực Thanh Hóa
Đại lý Phân phối Cấp 1 Phúc Lộc - CN 01664,0820001664,0100001664,ncc01664@phúclộc.vn,"Số 784 Quang Trung, Khánh Hòa",0,Đối tác cung ứng cấp 1 khu vực Khánh Hòa
Công ty TNHH Phân phối Minh Châu - CN 01665,0820001665,0100001665,ncc01665@minhchâu.vn,"Số 785 Bạch Đằng, Lâm Đồng",25000000,Đối tác cung ứng cấp 1 khu vực Lâm Đồng
Công ty Cổ phần Thương mại Đại Nam - CN 01666,0820001666,0100001666,ncc01666@đạinam.vn,"Số 786 Nguyễn Trãi, Hà Nội",0,Đối tác cung ứng cấp 1 khu vực Hà Nội
Tổng Kho Đại lý Hải Đăng - CN 01667,0820001667,0100001667,ncc01667@hảiđăng.vn,"Số 787 Lê Lợi, TP. Hồ Chí Minh",0,Đối tác cung ứng cấp 1 khu vực TP. Hồ Chí Minh
Nhà phân phối Hàng tiêu dùng Á Châu - CN 01668,0820001668,0100001668,ncc01668@áchâu.vn,"Số 788 Trần Hưng Đạo, Đà Nẵng",40000000,Đối tác cung ứng cấp 1 khu vực Đà Nẵng
Doanh nghiệp Tư nhân Hoàng Kim - CN 01669,0820001669,0100001669,ncc01669@hoàngkim.vn,"Số 789 Hai Bà Trưng, Hải Phòng",0,Đối tác cung ứng cấp 1 khu vực Hải Phòng
Công ty TNHH Thực phẩm Thành Đạt - CN 01670,0820001670,0100001670,ncc01670@thànhđạt.vn,"Số 790 Hoàng Diệu, Cần Thơ",0,Đối tác cung ứng cấp 1 khu vực Cần Thơ
Công ty Cổ phần Đầu tư Bán lẻ Thiên Phú - CN 01671,0820001671,0100001671,ncc01671@thiênphú.vn,"Số 791 Giải Phóng, Bình Dương",5000000,Đối tác cung ứng cấp 1 khu vực Bình Dương
Đại lý Phân phối Cấp 1 Thái Bình Dương - CN 01672,0820001672,0100001672,ncc01672@tháibìnhdương.vn,"Số 792 Cầu Giấy, Đồng Nai",0,Đối tác cung ứng cấp 1 khu vực Đồng Nai
Công ty TNHH Phân phối Nam Việt - CN 01673,0820001673,0100001673,ncc01673@namviệt.vn,"Số 793 Nguyễn Huệ, Bắc Ninh",0,Đối tác cung ứng cấp 1 khu vực Bắc Ninh
Công ty Cổ phần Thương mại Đông Dương - CN 01674,0820001674,0100001674,ncc01674@đôngdương.vn,"Số 794 Điện Biên Phủ, Thái Nguyên",20000000,Đối tác cung ứng cấp 1 khu vực Thái Nguyên
Tổng Kho Đại lý Gia Phát - CN 01675,0820001675,0100001675,ncc01675@giaphát.vn,"Số 795 Lý Thường Kiệt, Quảng Ninh",0,Đối tác cung ứng cấp 1 khu vực Quảng Ninh
Nhà phân phối Hàng tiêu dùng Tân Tiến - CN 01676,0820001676,0100001676,ncc01676@tântiến.vn,"Số 796 Pasteur, Nam Định",0,Đối tác cung ứng cấp 1 khu vực Nam Định
Doanh nghiệp Tư nhân Đức Trí - CN 01677,0820001677,0100001677,ncc01677@đứctrí.vn,"Số 797 Cách Mạng Tháng 8, Nghệ An",35000000,Đối tác cung ứng cấp 1 khu vực Nghệ An
Công ty TNHH Thực phẩm An Bình - CN 01678,0820001678,0100001678,ncc01678@anbình.vn,"Số 798 Võ Văn Kiệt, Thanh Hóa",0,Đối tác cung ứng cấp 1 khu vực Thanh Hóa
Công ty Cổ phần Đầu tư Bán lẻ Khang Thịnh - CN 01679,0820001679,0100001679,ncc01679@khangthịnh.vn,"Số 799 Quang Trung, Khánh Hòa",0,Đối tác cung ứng cấp 1 khu vực Khánh Hòa
Đại lý Phân phối Cấp 1 Thịnh Vượng - CN 01680,0820001680,0100001680,ncc01680@thịnhvượng.vn,"Số 800 Bạch Đằng, Lâm Đồng",0,Đối tác cung ứng cấp 1 khu vực Lâm Đồng
Công ty TNHH Phân phối Việt Phát - CN 01681,0820001681,0100001681,ncc01681@việtphát.vn,"Số 801 Nguyễn Trãi, Hà Nội",0,Đối tác cung ứng cấp 1 khu vực Hà Nội
Công ty Cổ phần Thương mại Hưng Thịnh - CN 01682,0820001682,0100001682,ncc01682@hưngthịnh.vn,"Số 802 Lê Lợi, TP. Hồ Chí Minh",0,Đối tác cung ứng cấp 1 khu vực TP. Hồ Chí Minh
Tổng Kho Đại lý Toàn Thắng - CN 01683,0820001683,0100001683,ncc01683@toànthắng.vn,"Số 803 Trần Hưng Đạo, Đà Nẵng",15000000,Đối tác cung ứng cấp 1 khu vực Đà Nẵng
Nhà phân phối Hàng tiêu dùng Phúc Lộc - CN 01684,0820001684,0100001684,ncc01684@phúclộc.vn,"Số 804 Hai Bà Trưng, Hải Phòng",0,Đối tác cung ứng cấp 1 khu vực Hải Phòng
Doanh nghiệp Tư nhân Minh Châu - CN 01685,0820001685,0100001685,ncc01685@minhchâu.vn,"Số 805 Hoàng Diệu, Cần Thơ",0,Đối tác cung ứng cấp 1 khu vực Cần Thơ
Công ty TNHH Thực phẩm Đại Nam - CN 01686,0820001686,0100001686,ncc01686@đạinam.vn,"Số 806 Giải Phóng, Bình Dương",30000000,Đối tác cung ứng cấp 1 khu vực Bình Dương
Công ty Cổ phần Đầu tư Bán lẻ Hải Đăng - CN 01687,0820001687,0100001687,ncc01687@hảiđăng.vn,"Số 807 Cầu Giấy, Đồng Nai",0,Đối tác cung ứng cấp 1 khu vực Đồng Nai
Đại lý Phân phối Cấp 1 Á Châu - CN 01688,0820001688,0100001688,ncc01688@áchâu.vn,"Số 808 Nguyễn Huệ, Bắc Ninh",0,Đối tác cung ứng cấp 1 khu vực Bắc Ninh
Công ty TNHH Phân phối Hoàng Kim - CN 01689,0820001689,0100001689,ncc01689@hoàngkim.vn,"Số 809 Điện Biên Phủ, Thái Nguyên",45000000,Đối tác cung ứng cấp 1 khu vực Thái Nguyên
Công ty Cổ phần Thương mại Thành Đạt - CN 01690,0820001690,0100001690,ncc01690@thànhđạt.vn,"Số 810 Lý Thường Kiệt, Quảng Ninh",0,Đối tác cung ứng cấp 1 khu vực Quảng Ninh
Tổng Kho Đại lý Thiên Phú - CN 01691,0820001691,0100001691,ncc01691@thiênphú.vn,"Số 811 Pasteur, Nam Định",0,Đối tác cung ứng cấp 1 khu vực Nam Định
Nhà phân phối Hàng tiêu dùng Thái Bình Dương - CN 01692,0820001692,0100001692,ncc01692@tháibìnhdương.vn,"Số 812 Cách Mạng Tháng 8, Nghệ An",10000000,Đối tác cung ứng cấp 1 khu vực Nghệ An
Doanh nghiệp Tư nhân Nam Việt - CN 01693,0820001693,0100001693,ncc01693@namviệt.vn,"Số 813 Võ Văn Kiệt, Thanh Hóa",0,Đối tác cung ứng cấp 1 khu vực Thanh Hóa
Công ty TNHH Thực phẩm Đông Dương - CN 01694,0820001694,0100001694,ncc01694@đôngdương.vn,"Số 814 Quang Trung, Khánh Hòa",0,Đối tác cung ứng cấp 1 khu vực Khánh Hòa
Công ty Cổ phần Đầu tư Bán lẻ Gia Phát - CN 01695,0820001695,0100001695,ncc01695@giaphát.vn,"Số 815 Bạch Đằng, Lâm Đồng",25000000,Đối tác cung ứng cấp 1 khu vực Lâm Đồng
Đại lý Phân phối Cấp 1 Tân Tiến - CN 01696,0820001696,0100001696,ncc01696@tântiến.vn,"Số 816 Nguyễn Trãi, Hà Nội",0,Đối tác cung ứng cấp 1 khu vực Hà Nội
Công ty TNHH Phân phối Đức Trí - CN 01697,0820001697,0100001697,ncc01697@đứctrí.vn,"Số 817 Lê Lợi, TP. Hồ Chí Minh",0,Đối tác cung ứng cấp 1 khu vực TP. Hồ Chí Minh
Công ty Cổ phần Thương mại An Bình - CN 01698,0820001698,0100001698,ncc01698@anbình.vn,"Số 818 Trần Hưng Đạo, Đà Nẵng",40000000,Đối tác cung ứng cấp 1 khu vực Đà Nẵng
Tổng Kho Đại lý Khang Thịnh - CN 01699,0820001699,0100001699,ncc01699@khangthịnh.vn,"Số 819 Hai Bà Trưng, Hải Phòng",0,Đối tác cung ứng cấp 1 khu vực Hải Phòng
Nhà phân phối Hàng tiêu dùng Thịnh Vượng - CN 01700,0820001700,0100001700,ncc01700@thịnhvượng.vn,"Số 820 Hoàng Diệu, Cần Thơ",0,Đối tác cung ứng cấp 1 khu vực Cần Thơ
Doanh nghiệp Tư nhân Việt Phát - CN 01701,0820001701,0100001701,ncc01701@việtphát.vn,"Số 821 Giải Phóng, Bình Dương",5000000,Đối tác cung ứng cấp 1 khu vực Bình Dương
Công ty TNHH Thực phẩm Hưng Thịnh - CN 01702,0820001702,0100001702,ncc01702@hưngthịnh.vn,"Số 822 Cầu Giấy, Đồng Nai",0,Đối tác cung ứng cấp 1 khu vực Đồng Nai
Công ty Cổ phần Đầu tư Bán lẻ Toàn Thắng - CN 01703,0820001703,0100001703,ncc01703@toànthắng.vn,"Số 823 Nguyễn Huệ, Bắc Ninh",0,Đối tác cung ứng cấp 1 khu vực Bắc Ninh
Đại lý Phân phối Cấp 1 Phúc Lộc - CN 01704,0820001704,0100001704,ncc01704@phúclộc.vn,"Số 824 Điện Biên Phủ, Thái Nguyên",20000000,Đối tác cung ứng cấp 1 khu vực Thái Nguyên
Công ty TNHH Phân phối Minh Châu - CN 01705,0820001705,0100001705,ncc01705@minhchâu.vn,"Số 825 Lý Thường Kiệt, Quảng Ninh",0,Đối tác cung ứng cấp 1 khu vực Quảng Ninh
Công ty Cổ phần Thương mại Đại Nam - CN 01706,0820001706,0100001706,ncc01706@đạinam.vn,"Số 826 Pasteur, Nam Định",0,Đối tác cung ứng cấp 1 khu vực Nam Định
Tổng Kho Đại lý Hải Đăng - CN 01707,0820001707,0100001707,ncc01707@hảiđăng.vn,"Số 827 Cách Mạng Tháng 8, Nghệ An",35000000,Đối tác cung ứng cấp 1 khu vực Nghệ An
Nhà phân phối Hàng tiêu dùng Á Châu - CN 01708,0820001708,0100001708,ncc01708@áchâu.vn,"Số 828 Võ Văn Kiệt, Thanh Hóa",0,Đối tác cung ứng cấp 1 khu vực Thanh Hóa
Doanh nghiệp Tư nhân Hoàng Kim - CN 01709,0820001709,0100001709,ncc01709@hoàngkim.vn,"Số 829 Quang Trung, Khánh Hòa",0,Đối tác cung ứng cấp 1 khu vực Khánh Hòa
Công ty TNHH Thực phẩm Thành Đạt - CN 01710,0820001710,0100001710,ncc01710@thànhđạt.vn,"Số 830 Bạch Đằng, Lâm Đồng",0,Đối tác cung ứng cấp 1 khu vực Lâm Đồng
Công ty Cổ phần Đầu tư Bán lẻ Thiên Phú - CN 01711,0820001711,0100001711,ncc01711@thiênphú.vn,"Số 831 Nguyễn Trãi, Hà Nội",0,Đối tác cung ứng cấp 1 khu vực Hà Nội
Đại lý Phân phối Cấp 1 Thái Bình Dương - CN 01712,0820001712,0100001712,ncc01712@tháibìnhdương.vn,"Số 832 Lê Lợi, TP. Hồ Chí Minh",0,Đối tác cung ứng cấp 1 khu vực TP. Hồ Chí Minh
Công ty TNHH Phân phối Nam Việt - CN 01713,0820001713,0100001713,ncc01713@namviệt.vn,"Số 833 Trần Hưng Đạo, Đà Nẵng",15000000,Đối tác cung ứng cấp 1 khu vực Đà Nẵng
Công ty Cổ phần Thương mại Đông Dương - CN 01714,0820001714,0100001714,ncc01714@đôngdương.vn,"Số 834 Hai Bà Trưng, Hải Phòng",0,Đối tác cung ứng cấp 1 khu vực Hải Phòng
Tổng Kho Đại lý Gia Phát - CN 01715,0820001715,0100001715,ncc01715@giaphát.vn,"Số 835 Hoàng Diệu, Cần Thơ",0,Đối tác cung ứng cấp 1 khu vực Cần Thơ
Nhà phân phối Hàng tiêu dùng Tân Tiến - CN 01716,0820001716,0100001716,ncc01716@tântiến.vn,"Số 836 Giải Phóng, Bình Dương",30000000,Đối tác cung ứng cấp 1 khu vực Bình Dương
Doanh nghiệp Tư nhân Đức Trí - CN 01717,0820001717,0100001717,ncc01717@đứctrí.vn,"Số 837 Cầu Giấy, Đồng Nai",0,Đối tác cung ứng cấp 1 khu vực Đồng Nai
Công ty TNHH Thực phẩm An Bình - CN 01718,0820001718,0100001718,ncc01718@anbình.vn,"Số 838 Nguyễn Huệ, Bắc Ninh",0,Đối tác cung ứng cấp 1 khu vực Bắc Ninh
Công ty Cổ phần Đầu tư Bán lẻ Khang Thịnh - CN 01719,0820001719,0100001719,ncc01719@khangthịnh.vn,"Số 839 Điện Biên Phủ, Thái Nguyên",45000000,Đối tác cung ứng cấp 1 khu vực Thái Nguyên
Đại lý Phân phối Cấp 1 Thịnh Vượng - CN 01720,0820001720,0100001720,ncc01720@thịnhvượng.vn,"Số 840 Lý Thường Kiệt, Quảng Ninh",0,Đối tác cung ứng cấp 1 khu vực Quảng Ninh
Công ty TNHH Phân phối Việt Phát - CN 01721,0820001721,0100001721,ncc01721@việtphát.vn,"Số 841 Pasteur, Nam Định",0,Đối tác cung ứng cấp 1 khu vực Nam Định
Công ty Cổ phần Thương mại Hưng Thịnh - CN 01722,0820001722,0100001722,ncc01722@hưngthịnh.vn,"Số 842 Cách Mạng Tháng 8, Nghệ An",10000000,Đối tác cung ứng cấp 1 khu vực Nghệ An
Tổng Kho Đại lý Toàn Thắng - CN 01723,0820001723,0100001723,ncc01723@toànthắng.vn,"Số 843 Võ Văn Kiệt, Thanh Hóa",0,Đối tác cung ứng cấp 1 khu vực Thanh Hóa
Nhà phân phối Hàng tiêu dùng Phúc Lộc - CN 01724,0820001724,0100001724,ncc01724@phúclộc.vn,"Số 844 Quang Trung, Khánh Hòa",0,Đối tác cung ứng cấp 1 khu vực Khánh Hòa
Doanh nghiệp Tư nhân Minh Châu - CN 01725,0820001725,0100001725,ncc01725@minhchâu.vn,"Số 845 Bạch Đằng, Lâm Đồng",25000000,Đối tác cung ứng cấp 1 khu vực Lâm Đồng
Công ty TNHH Thực phẩm Đại Nam - CN 01726,0820001726,0100001726,ncc01726@đạinam.vn,"Số 846 Nguyễn Trãi, Hà Nội",0,Đối tác cung ứng cấp 1 khu vực Hà Nội
Công ty Cổ phần Đầu tư Bán lẻ Hải Đăng - CN 01727,0820001727,0100001727,ncc01727@hảiđăng.vn,"Số 847 Lê Lợi, TP. Hồ Chí Minh",0,Đối tác cung ứng cấp 1 khu vực TP. Hồ Chí Minh
Đại lý Phân phối Cấp 1 Á Châu - CN 01728,0820001728,0100001728,ncc01728@áchâu.vn,"Số 848 Trần Hưng Đạo, Đà Nẵng",40000000,Đối tác cung ứng cấp 1 khu vực Đà Nẵng
Công ty TNHH Phân phối Hoàng Kim - CN 01729,0820001729,0100001729,ncc01729@hoàngkim.vn,"Số 849 Hai Bà Trưng, Hải Phòng",0,Đối tác cung ứng cấp 1 khu vực Hải Phòng
Công ty Cổ phần Thương mại Thành Đạt - CN 01730,0820001730,0100001730,ncc01730@thànhđạt.vn,"Số 850 Hoàng Diệu, Cần Thơ",0,Đối tác cung ứng cấp 1 khu vực Cần Thơ
Tổng Kho Đại lý Thiên Phú - CN 01731,0820001731,0100001731,ncc01731@thiênphú.vn,"Số 851 Giải Phóng, Bình Dương",5000000,Đối tác cung ứng cấp 1 khu vực Bình Dương
Nhà phân phối Hàng tiêu dùng Thái Bình Dương - CN 01732,0820001732,0100001732,ncc01732@tháibìnhdương.vn,"Số 852 Cầu Giấy, Đồng Nai",0,Đối tác cung ứng cấp 1 khu vực Đồng Nai
Doanh nghiệp Tư nhân Nam Việt - CN 01733,0820001733,0100001733,ncc01733@namviệt.vn,"Số 853 Nguyễn Huệ, Bắc Ninh",0,Đối tác cung ứng cấp 1 khu vực Bắc Ninh
Công ty TNHH Thực phẩm Đông Dương - CN 01734,0820001734,0100001734,ncc01734@đôngdương.vn,"Số 854 Điện Biên Phủ, Thái Nguyên",20000000,Đối tác cung ứng cấp 1 khu vực Thái Nguyên
Công ty Cổ phần Đầu tư Bán lẻ Gia Phát - CN 01735,0820001735,0100001735,ncc01735@giaphát.vn,"Số 855 Lý Thường Kiệt, Quảng Ninh",0,Đối tác cung ứng cấp 1 khu vực Quảng Ninh
Đại lý Phân phối Cấp 1 Tân Tiến - CN 01736,0820001736,0100001736,ncc01736@tântiến.vn,"Số 856 Pasteur, Nam Định",0,Đối tác cung ứng cấp 1 khu vực Nam Định
Công ty TNHH Phân phối Đức Trí - CN 01737,0820001737,0100001737,ncc01737@đứctrí.vn,"Số 857 Cách Mạng Tháng 8, Nghệ An",35000000,Đối tác cung ứng cấp 1 khu vực Nghệ An
Công ty Cổ phần Thương mại An Bình - CN 01738,0820001738,0100001738,ncc01738@anbình.vn,"Số 858 Võ Văn Kiệt, Thanh Hóa",0,Đối tác cung ứng cấp 1 khu vực Thanh Hóa
Tổng Kho Đại lý Khang Thịnh - CN 01739,0820001739,0100001739,ncc01739@khangthịnh.vn,"Số 859 Quang Trung, Khánh Hòa",0,Đối tác cung ứng cấp 1 khu vực Khánh Hòa
Nhà phân phối Hàng tiêu dùng Thịnh Vượng - CN 01740,0820001740,0100001740,ncc01740@thịnhvượng.vn,"Số 860 Bạch Đằng, Lâm Đồng",0,Đối tác cung ứng cấp 1 khu vực Lâm Đồng
Doanh nghiệp Tư nhân Việt Phát - CN 01741,0820001741,0100001741,ncc01741@việtphát.vn,"Số 861 Nguyễn Trãi, Hà Nội",0,Đối tác cung ứng cấp 1 khu vực Hà Nội
Công ty TNHH Thực phẩm Hưng Thịnh - CN 01742,0820001742,0100001742,ncc01742@hưngthịnh.vn,"Số 862 Lê Lợi, TP. Hồ Chí Minh",0,Đối tác cung ứng cấp 1 khu vực TP. Hồ Chí Minh
Công ty Cổ phần Đầu tư Bán lẻ Toàn Thắng - CN 01743,0820001743,0100001743,ncc01743@toànthắng.vn,"Số 863 Trần Hưng Đạo, Đà Nẵng",15000000,Đối tác cung ứng cấp 1 khu vực Đà Nẵng
Đại lý Phân phối Cấp 1 Phúc Lộc - CN 01744,0820001744,0100001744,ncc01744@phúclộc.vn,"Số 864 Hai Bà Trưng, Hải Phòng",0,Đối tác cung ứng cấp 1 khu vực Hải Phòng
Công ty TNHH Phân phối Minh Châu - CN 01745,0820001745,0100001745,ncc01745@minhchâu.vn,"Số 865 Hoàng Diệu, Cần Thơ",0,Đối tác cung ứng cấp 1 khu vực Cần Thơ
Công ty Cổ phần Thương mại Đại Nam - CN 01746,0820001746,0100001746,ncc01746@đạinam.vn,"Số 866 Giải Phóng, Bình Dương",30000000,Đối tác cung ứng cấp 1 khu vực Bình Dương
Tổng Kho Đại lý Hải Đăng - CN 01747,0820001747,0100001747,ncc01747@hảiđăng.vn,"Số 867 Cầu Giấy, Đồng Nai",0,Đối tác cung ứng cấp 1 khu vực Đồng Nai
